Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	Tipo	Id	Determinación	Comportamiento	Calidad
1	Spectrogram 1	1	2.319755327	3.502293990	1793.814	5230.024	2718.750	1.1825	-47.73	BIO	THYTRI	vocal	during	med
2	Spectrogram 1	1	4.890140392	4.977481794	1946.165	4722.695	2812.500	0.0873	-48.68	BIO	THYTRI	vocal	during	med
5	Spectrogram 1	1	5.618817233	5.730890904	2024.012	4823.245	2812.500	0.1121	-49.20	BIO	THYTRI	vocal	during	med
7	Spectrogram 1	1	6.379285302	6.544003068	1998.063	4939.467	2906.250	0.1647	-49.92	BIO	THYTRI	vocal	during	med
8	Spectrogram 1	1	7.662549074	7.855513945	1220.339	4823.245	2812.500	0.1930	-49.44	BIO	THYTRI	vocal	during	bad
10	Spectrogram 1	1	16.586214193	20.962396752	2041.237	6247.423	3656.250	4.3762	-44.14	BIO	THYTRI	vocal	during	bad
11	Spectrogram 1	1	30.978799604	32.326584744	1484.536	5257.732	2625.000	1.3478	-47.38	BIO	THYTRI	vocal	during	bad
12	Spectrogram 1	1	34.238477747	34.717023295	1484.536	7175.258	2812.500	0.4785	-41.64	BIO	THYTRI	vocal	during	bad
13	Spectrogram 1	1	41.138893028	42.229399409	1546.392	6664.939	2812.500	1.0905	-47.69	BIO	THYTRI	vocal	during	med
14	Spectrogram 1	1	50.962123565	51.995282374	1744.748	5938.144	2906.250	1.0332	-51.48	BIO	THYTRI	vocal	during	med
15	Spectrogram 1	1	62.463973412	63.596893608	1521.691	5982.840	2812.500	1.1329	-50.76	BIO	THYTRI	vocal	during	med
16	Spectrogram 1	1	89.267795833	89.544688892	2209.451	5852.723	2906.250	0.2769	-51.33	BIO	THYTRI	vocal	during	med
18	Spectrogram 1	1	64.393164692	64.527273506	1360.825	5628.866	2812.500	0.1341	-49.63			vocal	after	med
19	Spectrogram 1	1	106.669857977	106.854257596	1670.103	4886.598	2812.500	0.1844	-50.25			vocal	during	med
