Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	Tipo	Id	Determinación	Comportamiento	Calidad
1	Spectrogram 1	1	13.682704293	14.841028466	1639.175	4546.392	2753.906	1.1583	-42.00			vocal	before	bad
2	Spectrogram 1	1	22.705318801	32.207196782	1422.680	5814.433	2753.906	9.5019	-39.53			vocal	during	bad
3	Spectrogram 1	1	40.707308448	46.462731682	1422.680	5195.876	2742.188	5.7554	-39.49			vocal	during	bad
4	Spectrogram 1	1	51.873943851	52.670291720	1298.969	5072.165	2789.062	0.7963	-41.71			vocal	during	
5	Spectrogram 1	1	55.868097778	56.899730244	1546.392	4701.031	2777.344	1.0316	-41.26			vocal	during	bad
6	Spectrogram 1	1	69.183564875	71.138236917	1670.103	4268.041	2765.625	1.9547	-43.66			vocal	during	
7	Spectrogram 1	1	74.516495833	76.525464320	1670.103	4020.619	2765.625	2.0090	-43.30			vocal	during	bad
8	Spectrogram 1	1	78.221185233	81.171292111	1175.258	4268.041	2625.000	2.9501	-38.37			vocal	during	bad
9	Spectrogram 1	1	88.002295793	94.427375190	1329.897	4979.381	2765.625	6.4251	-40.69			vocal	during	bad
10	Spectrogram 1	1	99.256904497	100.614315638	1461.929	4203.046	2789.062	1.3574	-46.34			vocal	during	bad
11	Spectrogram 1	1	106.978236379	107.665991357	1827.411	3959.391	2777.344	0.6878	-38.63			vocal	before	bad
12	Spectrogram 1	1	115.552568529	118.611268298	1949.239	3776.650	2800.781	3.0587	-45.83			vocal	during	bad
