Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Time (s)	Inband Power (dB FS)	Tipo	Id	Determinación	Comportamiento	Calidad
1	Spectrogram 1	1	4.978040062	8.480661022	1468.354	4202.532	2613.281	3.5026	-50.80			vocal	during	med
2	Spectrogram 1	1	24.793202833	25.078823555	1595.908	4726.343	2730.469	0.2856	-50.72			vocal	before	bad
3	Spectrogram 1	1	27.059151450	27.434028647	1289.003	5892.583	3234.375	0.3749	-40.95			vocal	during	bad
4	Spectrogram 1	1	28.903785278	30.004615144	1718.670	5647.059	2882.812	1.1008	-50.13			vocal	during	
5	Spectrogram 1	1	40.223966201	40.765455486	1534.527	5462.916	2800.781	0.5415	-51.90			vocal	no drumming	bad
6	Spectrogram 1	1	46.212512076	46.688546612	1289.003	4910.486	2777.344	0.4760	-52.04			vocal	no drumming	bad
7	Spectrogram 1	1	50.838406716	51.326342116	1350.384	5953.964	2824.219	0.4879	-48.82			vocal	during	med
8	Spectrogram 1	1	63.787819432	64.073440154	1104.859	5892.583	2730.469	0.2856	-49.66			vocal	before	med
9	Spectrogram 1	1	64.585177280	64.942203183	1289.003	6506.394	2777.344	0.3570	-50.85			vocal	during	bad
10	Spectrogram 1	1	83.395810049	84.633499843	920.716	5892.583	2742.188	1.2377	-52.73			vocal	no drumming	bad
11	Spectrogram 1	1	96.526141060	96.704654011	1289.003	4051.151	2730.469	0.1785	-52.72			vocal	no drumming	bad
12	Spectrogram 1	1	117.359899534	117.728826300	1319.693	5309.463	2566.406	0.3689	-52.58			vocal	no drumming	bad
